날짜,시간대,배송유형,결제건수(상품주문번호),결제금액,발송건수,발송일준수건수,발송일준수율,배송완료건수,배송완료일준수건수,배송완료일준수율,평균배송기간(일),배송기간48시간내건수,배송시간48시간내비율
2023-09-25,10시,일반배송,0,0,0,0,,1,0,,1.9593402777777778,1,1.0
2023-09-25,13시,일반배송,0,0,0,0,,1,0,,1.998425925925926,1,1.0
2023-09-25,15시,일반배송,0,0,0,0,,2,0,,2.107274305555556,0,0.0
2023-09-25,17시,일반배송,0,0,0,0,,3,0,,2.284201388888889,0,0.0
2023-09-25,20시,일반배송,0,0,0,0,,1,0,,2.3478703703703703,0,0.0
2023-09-24,16시,일반배송,1,35000,0,0,,0,0,,0.0,0,
2023-09-23,18시,일반배송,0,0,0,0,,1,0,,3.2696180555555556,0,0.0
2023-09-22,20시,일반배송,1,35000,8,8,1.0,0,0,,0.0,0,
2023-09-22,13시,일반배송,0,0,0,0,,1,0,,4.551967592592592,0,0.0
2023-09-22,16시,일반배송,0,0,0,0,,1,0,,3.7503703703703706,0,0.0
2023-09-22,23시,일반배송,0,0,0,0,,1,0,,4.039548611111111,0,0.0
2023-09-21,10시,일반배송,3,134000,0,0,,0,0,,0.0,0,
2023-09-21,11시,일반배송,3,275000,0,0,,2,0,,3.4695949074074073,0,0.0
2023-09-21,18시,일반배송,3,74000,0,0,,2,0,,3.771984953703704,0,0.0
2023-09-21,13시,일반배송,2,64000,0,0,,0,0,,0.0,0,
2023-09-21,16시,일반배송,0,0,0,0,,1,0,,3.764525462962963,0,0.0
2023-09-21,17시,일반배송,0,0,0,0,,1,0,,3.7142824074074077,0,0.0
2023-09-21,23시,일반배송,0,0,3,3,1.0,5,0,,3.9648055555555555,0,0.0
2023-09-20,-,일반배송,2,124000,12,12,1.0,0,0,,0.0,0,
2023-09-19,-,일반배송,1,35000,0,0,,3,0,,7.016211419753087,0,0.0
2023-09-18,-,일반배송,4,134000,3,2,0.6666666666666666,0,0,,0.0,0,
2023-09-17,-,일반배송,1,96000,0,0,,0,0,,0.0,0,
2023-09-16,-,일반배송,10,220000,0,0,,1,0,,5.0,0,0.0
2023-09-15,-,일반배송,1,22000,1,0,0.0,0,0,,0.0,0,
2023-09-14,-,일반배송,1,14000,0,0,,2,0,,3.8947280092592593,0,0.0
2023-09-13,-,일반배송,2,296000,2,1,0.5,5,0,,1.678597222222222,5,1.0
2023-09-12,-,일반배송,1,20000,5,5,1.0,3,0,,1.5979783950617286,3,1.0
2023-09-11,-,일반배송,4,154000,3,3,1.0,0,0,,0.0,0,
2023-09-10,-,일반배송,3,313000,0,0,,0,0,,0.0,0,
2023-09-09,-,일반배송,1,22000,0,0,,1,0,,0.9899074074074075,1,1.0
2023-09-08,-,일반배송,3,188000,1,1,1.0,0,0,,0.0,0,
2023-09-07,-,일반배송,0,0,0,0,,3,0,,2.2028395061728396,2,0.6666666666666666
2023-09-06,-,일반배송,4,176000,3,3,1.0,1,0,,2.9514467592592593,0,0.0
2023-09-05,-,일반배송,1,62000,1,1,1.0,7,0,,1.6285135582010584,7,1.0
2023-09-04,-,일반배송,2,52000,7,7,1.0,0,0,,0.0,0,
2023-09-02,-,일반배송,3,62000,0,0,,1,0,,1.125173611111111,1,1.0
2023-09-01,-,일반배송,6,509000,1,1,1.0,1,0,,1.969375,1,1.0
2023-08-31,-,일반배송,1,20000,1,1,1.0,1,0,,1.6605902777777777,1,1.0
2023-08-30,-,일반배송,3,137000,1,1,1.0,0,0,,0.0,0,
2023-08-26,-,일반배송,0,0,0,0,,1,0,,1.0511342592592594,1,1.0
2023-08-25,-,일반배송,0,0,1,1,1.0,1,0,,0.9796296296296297,1,1.0
2023-08-24,-,일반배송,5,321000,1,1,1.0,2,0,,1.6694502314814814,2,1.0
2023-08-23,-,일반배송,0,0,2,2,1.0,3,0,,2.5566319444444443,0,0.0
2023-08-22,-,일반배송,2,51000,0,0,,3,0,,1.7899498456790122,3,1.0
2023-08-21,-,일반배송,0,0,6,6,1.0,0,0,,0.0,0,
2023-08-20,-,일반배송,3,75000,0,0,,0,0,,0.0,0,
2023-08-19,-,일반배송,1,140000,0,0,,1,0,,0.5088425925925926,1,1.0
2023-08-18,-,일반배송,3,112000,1,1,1.0,2,0,,1.8346180555555556,2,1.0
2023-08-17,-,일반배송,0,0,2,2,1.0,2,0,,2.017314814814815,1,0.5
2023-08-16,-,일반배송,3,121000,2,2,1.0,3,0,,1.520914351851852,3,1.0
2023-08-15,-,일반배송,0,0,3,3,1.0,0,0,,0.0,0,
2023-08-14,-,일반배송,1,31000,0,0,,0,0,,0.0,0,
2023-08-13,-,일반배송,3,75000,0,0,,0,0,,0.0,0,
2023-08-12,-,일반배송,0,0,0,0,,3,0,,0.5885262345679012,3,1.0
