Word,Frequency
백 넛,19
메세지 카드,19
여분 박스,19
워 시가,19
수건 핸드,19
붙다,18
올리다,18
무겁다,18
편이,18
로고,18
단단하다,18
나름,18
과정,18
용량,18
물다,18
잘못,18
쓰이다,18
카드,18
워낙,18
건지다,18
대요,18
문자,18
즐기다,18
실수,18
텀블러,18
핑크,18
품 잘쓰다,18
도 선물,18
꼼꼼하다 보내다,18
손님 분들,18
패키지 이쁘다,18
순 잔치,18
친절하다 대응,18
진 느낌,18
칼 배송,18
이쁘다 도,18
돌잔치 도,18
사진 동일하다,18
패키징 도,18
감사하다 도,18
도 진하다,18
만족하다 도,18
께서 친절하다,18
패키지 예쁘다,18
요조 아,18
감사 장도,18
다해,17
무,17
끝,17
딸,17
기,17
아들,17
무료,17
아깝다,17
성의,17
소중하다,17
군데,17
동생,17
새기다,17
주위,17
진하다,17
종종,17
글씨,17
바람,17
응답,17
갯수,17
정리,17
세탁,17
컬러,17
색깔,17
보드랍다,17
그만큼,17
나서다,17
중간,17
심하다,17
용기,17
귀찮다,17
무척,17
좋아하다 뿌듯하다,17
고급스럽다 보,17
돌리다 반응,17
아카시아 꿀,17
날짜 맞다,17
맞다 자다,17
사이즈 작다,17
스티커 제작,17
사은 품,17
믿다 주문,17
배송 답례,17
생각 사이즈,17
총알 배송,17
판매 분도,17
먹기 에도,17
주변 사람,17
스럽게 자다,17
빠르다 상담,17
센스 소리,17
구매 도,17
정성 가득하다,17
집 에서도,17
신경 쓰이다,17
수건 질도,17
돌잔치 앞두다,17
뭐 고민,17
사진 그대로,17
열 어보,17
안내 해주다,17
뜯다 먹다,17
연 벌꿀,17
손상,16
총,16
소소하다,16
오시,16
마지막,16
자세하다,16
뻔하다,16
인지,16
놀래다,16
열심히,16
상당하다,16
개다,16
어디서,16
꺼,16
벌써,16
월요일,16
완성,16
기존,16
사랑,16
일찍,16
캐릭터,16
안나,16
아기자기하다,16
커서,16
비닐,16
바삭,16
아몬드,16
뚜껑,16
사업 번창,16
쓰기 좋다,16
선물 해드리다,16
요청 날짜,16
상담 빠르다,16
쇼핑 백도,16
손님 만족하다,16
제품 구성,16
넣다 먹다,16
대비 고급,16
여유 주문,16
분들 센스,16
력 도,16
수건 품질,16
수건 결정,16
애기 돌잔치,16
호텔 수건,16
부드럽다 도톰하다,16
자수 퀄리티,16
흔하다 답례,16
자다 들어주다,16
잔치 답례,16
돌 잔치,16
회사 결혼,16
진행 해주다,16
스틱 먹기,16
출고 해주다,16
쓸다 느낌,16
워 시도,16
쿠키 맛있다,16
감사 카드,16
핸드 타,16
본,15
부피,15
할인,15
소통,15
분도,15
상황,15
세상,15
더더,15
바라다,15
멀다,15
크게,15
돈,15
지난번,15
터지다,15
들어주다,15
보자기,15
기다리다,15
소,15
아이템,15
아주아주,15
제격,15
상세,15
맞춤,15
모로,15
섬세하다,15
몇번,15
멋지다,15
호두과자,15
갈다,15
도와주다,15
결과,15
친환경,15
실,15
잘나오다,15
늘,15
박히다,15
나가다,15
와이프,15
조만간,15
짱짱,15
이미지,15
무염,15
거품,15
자다 챙기다,15
친절하다 해주시,15
꼼꼼하다 확인,15
생각 크기,15
양 벌꿀,15
빨리 도착,15
배송 서다,15
톡톡 문의,15
구매 해봤다,15
대비 퀄리티,15
파손 자다,15
찾다 구매,15
원하다 디자인,15
대비 만족하다,15
입장 에서도,15
스럽게 포장,15
문 햇,15
꼼꼼하다 챙기다,15
아버지 순,15
고민 결정,15
당 떨어지다,15
주변 분들,15
만족 만족,15
사다 물어보다,15
빠르다 정확하다,15
정확하다 배송,15
두번째 구매,15
끝나다 답례,15
깔끔하다 도,15
수건 바꾸다,15
급하다 주,15
해주다 뿌듯하다,15
전반 적,15
친구 추천,15
적 이지,15
남편 회사,15
빠르다 물건,15
건강 에도,15
에도 친절하다,15
간단하다 답례,15
무사하다 답례,15
어울리다,14
봉투,14
프로,14
음식,14
니까,14
적히다,14
단체,14
누락,14
자주,14
믿음,14
들어오다,14
가정,14
꿀물,14
덕,14
기본,14
이전,14
갖다,14
안확,14
친절,14
식상하다,14
아담하다,14
소개,14
아쉬움,14
이니,14
원단,14
선호,14
태어나다,14
작년,14
아무,14
밤,14
퀄,14
ㅡ,14
며칠,14
오전,14
