,매장명,위도,경도,매장타입,주소,전화번호
426,녹번역,37.603307621312325,126.93528567756574,pin_general,"서울특별시 은평구 통일로 636 (녹번동) 110,111,112,113,114,115호",1522-3232
427,진관DT,37.6501787,126.9361968,pin_generalDT,서울특별시 은평구 연서로 645 (진관동),1522-3232
428,연합뉴스,37.5743289,126.9804590000005,pin_general,서울특별시 종로구 율곡로2길 25 (수송동),1522-3232
429,혜화역,37.5824779,127.0021850,pin_general,서울특별시 종로구 대학로12길 4 (동숭동)1~2층,1522-3232
430,경희궁로,37.571759,126.972343,pin_general,서울특별시 종로구 새문안로3길 15 (당주동),1522-3232
431,강북삼성병원,37.568546,126.967560,pin_general,서울특별시 종로구 새문안로 29 (평동),1522-3232
432,종로평창동,37.606149,126.967213,pin_general,서울특별시 종로구 평창12길 3 (평창동),1522-3232
433,광화문우체국,37.569854,126.978083,pin_general,서울특별시 종로구 종로 6 (서린동),1522-3232
434,종로R,37.570804,126.983494,pin_reserve,서울특별시 종로구 종로 51 (종로2가),1522-3232
435,독립문역,37.571432,126.961269,pin_general,서울특별시 종로구 송월길 155 경희궁자이 4단지 1층 팰리스애비뉴 4114~4119호,1522-3232
436,정부서울청사R,37.574411,126.973571,pin_reserve,서울특별시 종로구 새문안로5가길 28 (적선동),1522-3232
437,종로구청,37.572662,126.981138,pin_general,서울특별시 종로구 삼봉로 71 (수송동),1522-3232
438,북촌로,37.579462,126.986431,pin_general,서울특별시 종로구 북촌로4길 23 (계동),1522-3232
439,종로수송,37.5714931,126.9807831,pin_general,서울특별시 종로구 종로5길 30 (청진동) 1~3층,1522-3232
440,새문안로,37.5696597,126.9748903,pin_general,서울특별시 종로구 새문안로 92 (신문로1가) 광화문오피시아빌딩,1522-3232
441,안국,37.577338,126.985635,pin_general,서울특별시 종로구 북촌로 5-1 (재동),1522-3232
442,삼청동,37.585381,126.9817512,pin_general,서울특별시 종로구 삼청로 111-1 (삼청동),1522-3232
443,광화문D타워,37.5714,126.9788297,pin_general,서울특별시 종로구 종로3길 17 (청진동) D타워,1522-3232
444,적선,37.57520431,126.9739361,pin_general,"서울특별시 종로구 새문안로5길 55, 노스게이트빌딩 1층 (적선동)",1522-3232
445,인사,37.5721293,126.98703490000002,pin_general,서울특별시 종로구 인사동길 14 (인사동),1522-3232
446,광화문,37.5712293,126.9762872,pin_generalWT,서울특별시 종로구 세종대로 167 (세종로),1522-3232
447,성대입구,37.582892,126.998392,pin_general,서울특별시 종로구 창경궁로 235 (명륜3가),1522-3232
448,스페이스본,37.57532212,126.9692494,pin_general,서울특별시 종로구 사직로8길 4 (사직동) 광화문 풍림스페이스본,1522-3232
